text,label
Verify your bank account urgently,scam
Click here to claim reward,scam
Update payment immediately,scam
Your account has been suspended,scam
Login now to avoid account block,scam
Claim your free iPhone now,scam
Congratulations you won lottery,scam
Urgent action required verify account,scam
Bank security alert click below,scam
Reset your password immediately,scam
You received salary successfully,safe
Amazon order shipped successfully,safe
Meeting scheduled tomorrow,safe
Your OTP is 4567,safe
Google account security notification,safe
Your package will arrive today,safe
Welcome to online banking,safe
Payment received successfully,safe
Netflix subscription renewed,safe
Your class starts at 10 AM,safe

Verify your bank account now,scam
Free reward waiting for you,scam
Login immediately to avoid suspension,scam
Congratulations you won lottery,scam
Secure your account now,scam
Welcome to Amazon shopping,safe
Google search engine homepage,safe
Online education platform,safe
Official Microsoft website,safe




Your OTP for SBI login is 483920 Do not share it with anyone,safe
OTP for transaction is 728291,safe
Bank OTP generated for secure transaction,safe
Your verification code is 938201,safe

Share OTP immediately to claim reward money,scam
Send OTP to receive free cash prize,scam
Verify bank account by sharing OTP,scam
